qID	sentence	option1	option2	answer	ed	gender	wid	ctx	url
280-1	Adam wanted Jason to clean the new car that _ bought with the tax refund this year.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	clean	https://www.wikihow.com/Clean-an-Eraser
280-2	Adam wanted Jason to clean the new boat that _ bought with the tax refund this year.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	clean	https://www.wikihow.com/Clean-an-Eraser
489-1	The coyote scared Adam so Jason reached out to hold _ and comfort them because they are scared.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	coyote	https://www.wikihow.com/Make-a-Coyote-Trap
489-2	The coyote scared Adam so Jason reached out to hold _ and laugh at them because they are scared.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	coyote	https://www.wikihow.com/Make-a-Coyote-Trap
695-1	Adam gives Jason some medicine after discovering they caught the flu from _ last winter.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	flu	https://www.wikihow.health/Prevent-the-Flu
695-2	Adam gives Jason some water after discovering they caught the flu from _ last winter.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	flu	https://www.wikihow.health/Prevent-the-Flu
286-1	Adam invited Jason to come swimming at the lake that _ bought to use in summer.	Adam	Jason	1	4	m	A11BSFO4LMHPXQ	summer	https://www.wikihow.com/Keep-Your-Attic-Cool-in-Summer
286-2	Adam asked Jason if they could come swimming at the lake that _ bought to use in summer.	Adam	Jason	2	4	m	A11BSFO4LMHPXQ	summer	https://www.wikihow.com/Keep-Your-Attic-Cool-in-Summer
91-1	Adam asked Jason to help _ paint his entire house robin egg blue from top to bottom.	Adam	Jason	1	3	m	A11BSFO4LMHPXQ	paint	https://www.wikihow.com/Splatter-Paint
91-2	Adam asked Jason to help _ paint his entire house cardinal bird red from top to bottom.	Adam	Jason	2	3	m	A11BSFO4LMHPXQ	paint	https://www.wikihow.com/Splatter-Paint
291-1	The story that Adam told Jason about how _ saw a dead body was really a lie.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	story	https://www.wikihow.com/Edit-a-Short-Story
291-2	The story that Adam told Jason about how _ saw a dead rat was really a lie.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	story	https://www.wikihow.com/Edit-a-Short-Story
96-1	Adam wants Jason to wash the brand new car that _ bought last Saturday afternoon.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	car	https://www.wikihow.com/Make-a-Paper-Car
96-2	Adam wants Jason to sell the brand new car that _ bought last Saturday afternoon.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	car	https://www.wikihow.com/Make-a-Paper-Car
503-1	Adam gets in the car to drive Jason to apply for work on the same shift as _ .	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	work	https://www.wikihow.com/Wear-Leggings-to-Work
503-2	Adam gets in the car to drive Jason to apply for work on the opposite shift as _ .	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	work	https://www.wikihow.com/Wear-Leggings-to-Work
707-1	The hair on Adam's neck stood up when Jason came over to visit _ late one Friday night.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	hair	https://www.wikihow.com/Wash-Your-Hair-Without-Shampoo
707-2	The hair on Adam's neck fell down when Jason came over to visit _ late one Friday night.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	hair	https://www.wikihow.com/Wash-Your-Hair-Without-Shampoo
508-1	Adam was worried that Jason would forget to stop and pick up the prescription for _ .	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	prescription	https://www.wikihow.com/Travel-With-Prescription-Medications
508-2	Adam was excited that Jason would forget to stop and pick up the prescription for _ .	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	prescription	https://www.wikihow.com/Travel-With-Prescription-Medications
711-1	The wood that Adam gave Jason to make a rocking chair for _ was rotted after all.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	wood	https://www.wikihow.com/Operate-a-Wood-Router
711-2	The wood that Adam gave Jason to make a rocking horse for _ was rotted after all.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	wood	https://www.wikihow.com/Operate-a-Wood-Router
909-1	Adam accuses Jason of sleeping with the best friend of _ last last Tuesday just to be mean.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	friend	https://www.wikihow.com/Fall-Out-of-Love-with-Your-Best-Friend
909-2	Adam accuses Jason of joking with the best friend of _ last last Tuesday just to be mean.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	friend	https://www.wikihow.com/Fall-Out-of-Love-with-Your-Best-Friend
738-1	Adam asks Jason what they think of _ personality after taking the new medicines this week.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	personality	https://www.wikihow.com/Keep-a-Man-Interested
738-2	Adam asks Jason what they think of _ personality after taking the new photographs this week.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	personality	https://www.wikihow.com/Keep-a-Man-Interested
320-1	Adam wanted Jason to bring drinks when they visited the boat _ bought to use at sea.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	sea	https://www.wikihow.com/Care-for-Sea-Monkeys
320-2	Adam wanted Jason to bring life preservers when they visited the boat _ bought to use at sea.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	sea	https://www.wikihow.com/Care-for-Sea-Monkeys
127-1	Adam told Jason that _ wanted to explore a career in real estate by enrolling in college.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	career	https://www.wikihow.com/Get-Your-Real-Estate-License-in-Arizona
127-2	Adam told Jason that _ wanted to explore a career in real estate by enrolling in high school.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	career	https://www.wikihow.com/Get-Your-Real-Estate-License-in-Arizona
321-1	Adam asked Jason if _ should paint their house a light blue or light yellow.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	paint	https://www.wikihow.com/Paint-a-Rock-Using-Toothpicks
321-2	Adam asked Jason if _ should paint their car a light blue or light yellow.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	paint	https://www.wikihow.com/Paint-a-Rock-Using-Toothpicks
740-1	Adam told Jason to wait until after tomorrow to go buy a baseball for _ .	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	baseball	https://www.wikihow.com/Throw-a-Slider
740-2	Adam told Jason to wait until after tomorrow to go sell a baseball for _ .	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	baseball	https://www.wikihow.com/Throw-a-Slider
129-1	Adam is jealous that Jason bought the lottery ticket and is more rich than _ will ever be.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	rich	https://www.wikihow.com/Build-Generational-Wealth
129-2	Adam is pleased that Jason bought the lottery ticket and is more rich than _ will ever be.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	rich	https://www.wikihow.com/Build-Generational-Wealth
745-1	Adam was more disappointed than Jason that _ went ahead and got a nose job.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	nose	https://www.wikihow.com/Apply-Contour-Makeup
745-2	Adam was more excited than Jason that _ went ahead and got a nose job.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	nose	https://www.wikihow.com/Apply-Contour-Makeup
746-1	Adam would like Jason to pass a piece of strawberry chewing gum that _ bought at the store.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	gum	https://www.wikihow.com/Remove-Chewing-Gum-from-Jeans
746-2	Adam would like Jason to pass a piece of root beer chewing gum that _ bought at the store.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	gum	https://www.wikihow.com/Remove-Chewing-Gum-from-Jeans
936-1	Adam took the hamster from Jason to give to the kid that lives next door to _ .	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	hamster	https://www.wikihow.com/Deal-With-Your-Hamster-Dying
936-2	Adam took the hamster from Jason to give to the man that lives next door to _ .	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	hamster	https://www.wikihow.com/Deal-With-Your-Hamster-Dying
544-1	Adam asks Jason if _ feels up to quilting a new blanket to keep warm in the bed at night.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	quilting	https://www.wikihow.com/Keep-Quilting-Costs-Low
544-2	Adam asks Jason if _ feels up to quilting a new hat to keep warm in the bed at night.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	quilting	https://www.wikihow.com/Keep-Quilting-Costs-Low
140-1	Adam was mad that Jason would question _ about their willpower when the cake was served.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	willpower	https://www.wikihow.com/Increase-Your-Willpower
140-2	Adam was relieved that Jason would question _ about their willpower when the cake was served.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	willpower	https://www.wikihow.com/Increase-Your-Willpower
753-1	Adam was mad at Jason when they made fun of the essay _ wrote on dogs.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	essay	https://www.wikihow.com/Write-an-Expository-Essay
753-2	Adam was happy with Jason when they made fun of the essay _ wrote on dogs.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	essay	https://www.wikihow.com/Write-an-Expository-Essay
549-1	Adam was excited to invite Jason to attend the wedding of _ next summer in town.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	wedding	https://www.wikihow.com/Dress-for-an-Evening-Wedding
549-2	Adam was unhappy to invite Jason to attend the wedding of _ next summer in town.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	wedding	https://www.wikihow.com/Dress-for-an-Evening-Wedding
551-1	Adam was not comfortable with the fact that  Jason was wearing _ 's green jacket.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	comfortable	https://www.wikihow.com/Have-the-Habits-of-a-Confident-Woman
551-2	Adam was not comfortable with the fact that  Jason was wearing _ 's green sunglasses.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	comfortable	https://www.wikihow.com/Have-the-Habits-of-a-Confident-Woman
146-1	The ribbon that Adam bought for Jason to use to make _ a new shoelace broke in two.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	ribbon	https://www.wikihow.com/Keep-Ribbon-from-Fraying
146-2	The ribbon that Adam bought for Jason to use to make _ a new belt broke in two.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	ribbon	https://www.wikihow.com/Keep-Ribbon-from-Fraying
756-1	Adam asked Jason if they thought that _ could become successful in blogging about dogs.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	blogging	https://www.wikihow.com/Create-a-Blogger-Blog
756-2	Adam asked Jason if they thought that _ could become poor in blogging about dogs.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	blogging	https://www.wikihow.com/Create-a-Blogger-Blog
347-1	Adam told Jason that _ had the skills necessary to open their own beer brewery.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	skills	https://www.wikihow.com/Build-Life-Skills
347-2	Adam told Jason that _ had the skills necessary to open their own wine tasting.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	skills	https://www.wikihow.com/Build-Life-Skills
557-1	Adam beat Jason for hurting the animal that was walking through the yard of _ .	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	animal	https://www.wikihow.com/Change-Eye-Color-in-Animal-Crossing
557-2	Adam beat Jason for petting the animal that was walking through the yard of _ .	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	animal	https://www.wikihow.com/Change-Eye-Color-in-Animal-Crossing
761-1	Mary did not want to date Susan only because _ were a Capricorn and no other reason.	Mary	Susan	1	1	f	A11BSFO4LMHPXQ	date	https://www.wikihow.com/Date-a-Capricorn-Woman
761-2	Mary did not want to date Susan only because _ were a Scorpio and no other reason.	Mary	Susan	2	1	f	A11BSFO4LMHPXQ	date	https://www.wikihow.com/Date-a-Capricorn-Woman
953-1	Adam told Jason to put the lime in the coconut when visiting _ at the beach.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	lime	https://www.wikihow.com/Cook-With-Lime-Juice
953-2	Adam told Jason to put the lime in the coconut when visiting _ at the hospital.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	lime	https://www.wikihow.com/Cook-With-Lime-Juice
155-1	Mary accuses Susan of being cheap with they went shopping for a gift for _ on their birthday.	Mary	Susan	1	1	f	A11BSFO4LMHPXQ	cheap	https://www.wikihow.com/Make-Cold-Porcelain
155-2	Mary accuses Susan of being cheap with they went shopping for a gift for _ on their anniversary.	Mary	Susan	2	1	f	A11BSFO4LMHPXQ	cheap	https://www.wikihow.com/Make-Cold-Porcelain
566-1	Adam saw the fear in Jason's eyes when they saw the gun _ was carrying around.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	fear	https://www.wikihow.com/Give-a-Presentation
566-2	Adam saw the fear in Jason's eyes when they saw the knife _ was carrying around.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	fear	https://www.wikihow.com/Give-a-Presentation
159-1	Adam gave Jason a piece of fruit that _ bought at the grocery store last weekend.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	fruit	https://www.wikihow.com/Remove-Facial-Wrinkles-with-Fruit
159-2	Adam gave Jason a piece of fruit that _ bought at the farmer's market  last weekend.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	fruit	https://www.wikihow.com/Remove-Facial-Wrinkles-with-Fruit
568-1	Adam wants Jason to cook a roast in the crockpot overnight to feed _ tomorrow.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	roast	https://www.wikihow.com/Slow-Cook-a-Roast
568-2	Adam wants Jason to store a roast in the crockpot overnight to feed _ tomorrow.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	roast	https://www.wikihow.com/Slow-Cook-a-Roast
360-1	The loss of _ 's friend bothered both Adam and Jason but for different reasons.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	loss	https://www.wikihow.com/Offer-Condolences
360-2	The loss of _ 's dad bothered both Adam and Jason but for different reasons.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	loss	https://www.wikihow.com/Offer-Condolences
771-1	Adam told Jason not to ever wake _ up in the morning if they want to live longer.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	morning	https://www.wikihow.com/Look-Good-Without-Makeup
771-2	Adam told Jason not to ever ignore _ in the morning if they want to live longer.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	morning	https://www.wikihow.com/Look-Good-Without-Makeup
164-1	Adam wants Jason to trim the beard of _ because it has gotten too long and gnarly.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	beard	https://www.wikihow.com/Grow-a-Beard-Faster
164-2	Adam wants Jason to color the beard of _ because it has gotten too long and gnarly.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	beard	https://www.wikihow.com/Grow-a-Beard-Faster
171-1	The rabbit that Adam bought Jason for Easter last spring bit _ on the thumb.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	rabbit	https://www.wikihow.com/Care-for-a-Rabbit
171-2	The rabbit that Adam bought Jason for Easter last spring kissed _ on the thumb.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	rabbit	https://www.wikihow.com/Care-for-a-Rabbit
177-1	Mushrooms are in every dish that Adam tries to serve Jason when visiting _ at home.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	mushrooms	https://www.wikihow.com/Store-Fresh-Mushrooms
177-2	Mushrooms are in every dish that Adam tries to serve Jason when visiting _ at the hospital.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	mushrooms	https://www.wikihow.com/Store-Fresh-Mushrooms
378-1	Adam wanted Jason to clean the hamper that belonged to _ before tomorrow night or else.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	clean	https://www.wikihow.com/Clean-Earbuds
378-2	Adam wanted Jason to clean the hamper that belonged to _ after tomorrow night or else.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	clean	https://www.wikihow.com/Clean-Earbuds
183-1	Mary was camping with Susan when a bear scared _ half to death last weekend.	Mary	Susan	1	1	f	A11BSFO4LMHPXQ	camping	https://www.wikihow.com/Enjoy-Camping
183-2	Mary was camping with Susan when a wildcat scared _ half to death last weekend.	Mary	Susan	2	1	f	A11BSFO4LMHPXQ	camping	https://www.wikihow.com/Enjoy-Camping
4-1	Adam learned new organizational skills from Jason because _ 's day schedule was very chaotic.	Adam	Jason	1	1	m	A130P4M9JPT4YA	day	https://www.wikihow.com/Have-a-Good-Day
4-2	Adam learned new organizational skills from Jason because _ 's day schedule was very efficient.	Adam	Jason	2	1	m	A130P4M9JPT4YA	day	https://www.wikihow.com/Have-a-Good-Day
410-1	Adam gave valuable pre-natal advice to Jason since _ had much experience with coping with pregnancy.	Adam	Jason	1	1	m	A130P4M9JPT4YA	pregnancy	https://www.wikihow.mom/Gain-the-Appropriate-Weight-in-Pregnancy
410-2	Adam gave valuable pre-natal advice to Jason since _ had no experience with coping with pregnancy.	Adam	Jason	2	1	m	A130P4M9JPT4YA	pregnancy	https://www.wikihow.mom/Gain-the-Appropriate-Weight-in-Pregnancy
15-1	Mary was accepted by Susan for her club, so _ was a new member at last.	Mary	Susan	1	1	f	A130P4M9JPT4YA	accepted	https://www.wikihow.com/Get-Accepted-to-a-Top-College
15-2	Mary was accepted by Susan for her club, so _ had a new member at last.	Mary	Susan	2	1	f	A130P4M9JPT4YA	accepted	https://www.wikihow.com/Get-Accepted-to-a-Top-College
220-1	Adam had been abused badly by Jason , so the pain _ received was recurring every day.	Adam	Jason	1	1	m	A130P4M9JPT4YA	recurring	https://www.wikihow.com/Stop-Recurring-Boils
220-2	Adam had been abused badly by Jason , so the pain _ gave was recurring every day.	Adam	Jason	2	1	m	A130P4M9JPT4YA	recurring	https://www.wikihow.com/Stop-Recurring-Boils
19-1	Mary was no longer interested in working for Susan , so _ submitted her notice to resign.	Mary	Susan	1	1	f	A130P4M9JPT4YA	notice	https://www.wikihow.com/Get-Women-to-Notice-You
19-2	Mary was no longer interested in working for Susan , so _ accepted her notice to resign.	Mary	Susan	2	1	f	A130P4M9JPT4YA	notice	https://www.wikihow.com/Get-Women-to-Notice-You
21-1	Mary caught more fish than Susan , so _ was happy with their fishing trip.	Mary	Susan	1	1	f	A130P4M9JPT4YA	fishing	https://www.wikihow.com/Get-a-Fishing-License-in-Ohio
21-2	Mary caught more fish than Susan , so _ was disappointed with their fishing trip.	Mary	Susan	2	1	f	A130P4M9JPT4YA	fishing	https://www.wikihow.com/Get-a-Fishing-License-in-Ohio
422-1	Adam gave lessons to Jason , as _ had so much piano playing knowledge and experience.	Adam	Jason	1	1	m	A130P4M9JPT4YA	piano	https://www.wikihow.com/Choose-Between-Digital-or-Acoustic-Piano
422-2	Adam gave lessons to Jason , as _ had so little piano playing knowledge and experience.	Adam	Jason	2	1	m	A130P4M9JPT4YA	piano	https://www.wikihow.com/Choose-Between-Digital-or-Acoustic-Piano
426-1	Adam acted superior and confident around Jason , since _ had much too high self-esteem.	Adam	Jason	1	1	m	A130P4M9JPT4YA	self-esteem	https://www.wikihow.com/Let-Go-of-Shame-and-Build-Self-Esteem
426-2	Adam acted superior and confident around Jason , since _ had much too low self-esteem.	Adam	Jason	2	1	m	A130P4M9JPT4YA	self-esteem	https://www.wikihow.com/Let-Go-of-Shame-and-Build-Self-Esteem
634-1	Mary declined Susan 's invitation to go on a long hike, as _ prefers to be indoors.	Mary	Susan	1	3	f	A130P4M9JPT4YA	Indoors	https://www.wikihow.com/Compost-Indoors
